id,inmate_id,location_id,date
300,2012-0907205,28,2013-01-09
301,2012-0105134,90,2012-12-13
302,2012-0619130,3,2013-01-14
303,2012-1108139,25,2012-12-20
304,2012-0825070,127,2012-12-17
305,2012-0507136,48,2013-01-07
306,2012-0907274,32,2013-01-08
307,2011-0414083,35,2013-01-03
308,2012-0826154,68,2013-01-07
309,2012-0309249,100,2012-12-18
310,2011-0920072,38,2013-02-06
311,2012-1211104,108,2013-01-02
312,2012-0615126,91,2012-12-17
313,2012-1130066,10,2012-12-20
314,2011-1214129,3,2012-12-14
315,2012-1007117,15,2012-12-13
316,2012-0909029,68,2013-01-04
317,2012-0829208,74,2013-01-16
318,2012-0511114,56,2013-01-10
319,2012-1123077,108,2012-12-20
320,2012-0830149,3,2013-01-07
321,2012-0928114,58,2013-01-07
322,2012-0825154,52,2013-01-08
323,2012-1211214,38,2013-01-07
324,2012-1129214,73,2012-12-20
325,2012-1006119,32,2013-01-03
326,2012-1205209,74,2012-12-13
327,2012-1020138,31,2012-12-17
328,2011-0510073,37,2012-12-19
329,2012-0130071,80,2012-12-19
330,2012-0717109,76,2013-01-15
331,2012-1010068,28,2013-01-11
332,2012-0502130,46,2013-01-18
333,2012-0328156,15,2013-01-15
334,2012-0530205,52,2012-12-20
335,2012-1212134,26,2012-12-18
336,2011-1026035,48,2013-01-22
337,2012-0902065,31,2013-01-22
338,2012-1202149,53,2012-12-18
339,2012-0716072,52,2013-01-29
340,2012-1123024,57,2012-12-13
341,2010-1223084,15,2013-01-18
342,2012-0905122,56,2012-12-18
343,2012-0627128,121,2012-12-19
344,2012-1204111,12,2012-12-18
345,2012-0425134,112,2013-01-08
346,2012-1207168,51,2012-12-17
347,2012-0203138,80,2012-12-20
348,2012-0320179,45,2012-12-20
349,2011-0629208,20,2012-12-18
350,2012-1102083,25,2012-12-18
351,2012-1031050,39,2012-12-20
352,2012-1205029,77,2012-12-19
353,2012-1004129,20,2012-12-18
354,2012-0719098,121,2013-01-24
355,2012-1210122,83,2013-01-11
356,2012-0823016,17,2012-12-14
357,2012-1116045,136,2012-12-17
358,2012-1031118,25,2012-12-19
359,2012-0923165,6,2013-01-24
360,2012-1129010,89,2012-12-13
361,2012-0709210,112,2013-02-05
362,2012-1207130,108,2012-12-27
363,2011-0626147,91,2013-01-16
364,2012-0719198,35,2013-01-17
365,2012-1115012,54,2012-12-19
366,2012-0829170,52,2013-01-07
367,2012-0824080,103,2012-12-19
368,2012-0922068,76,2013-01-03
369,2012-0810159,38,2012-12-17
370,2012-0119001,27,2012-12-14
371,2012-0605143,38,2013-01-16
372,2012-1210046,30,2012-12-31
373,2012-0525087,80,2013-01-16
374,2011-1023072,47,2013-01-08
375,2012-0512204,27,2012-12-21
376,2012-1127041,25,2012-12-26
377,2012-0901054,1,2012-12-20
378,2012-0421124,121,2013-01-03
379,2011-0815106,100,2013-01-08
380,2012-1208043,138,2012-12-24
381,2010-0204014,139,2012-12-21
382,2012-0223133,91,2012-12-18
383,2012-1031025,68,2012-12-28
384,2012-0405223,83,2012-12-17
385,2010-0913069,2,2013-01-08
386,2012-1127098,108,2012-12-17
387,2012-0914070,140,2012-12-13
388,2012-0825235,83,2012-12-13
389,2012-1112122,81,2012-12-26
390,2012-0809235,4,2012-12-13
391,2011-1206212,87,2013-01-10
392,2012-0126061,55,2012-12-13
393,2012-0319001,100,2013-01-22
394,2012-0920168,80,2013-01-08
395,2012-1129210,73,2012-12-13
396,2012-0412157,27,2012-12-21
397,2012-1003051,80,2012-12-14
398,2012-1108126,20,2012-12-21
399,2011-0218233,102,2013-01-09
400,2012-0914099,99,2013-01-15
401,2012-0504109,55,2012-12-21
402,2012-0624129,15,2013-01-18
403,2012-1129041,77,2012-12-27
404,2012-1118020,25,2012-12-26
405,2012-0819023,55,2013-01-25
406,2012-0608057,76,2012-12-20
407,2012-0502065,68,2013-02-04
408,2012-1208096,132,2012-12-19
409,2012-1031066,25,2012-12-13
410,2012-1118196,10,2012-12-14
411,2012-0831090,47,2013-01-07
412,2012-0808107,35,2012-12-21
413,2009-0007326,72,2012-12-18
414,2012-0310181,99,2013-01-15
415,2012-1212009,146,2012-12-26
416,2012-0623119,23,2013-01-14
417,2010-0913148,147,2013-01-02
418,2012-0902123,68,2013-01-23
419,2012-0613111,140,2012-12-19
420,2012-1001055,148,2013-01-08
