id,location
118,"Branch 43
Criminal Courts Building, Room:204
2650 South California Avenue Room: 204
Chicago, IL 60608
"
119,"Markham
Criminal Courts Building, Room:203
2650 South California Avenue Room: 203
Chicago, IL 60608
"
120,"Branch 50
Rolling Meadows, Room:110
2121 West Euclid Avenue Room: 110
Rolling Meadows, IL 60008
"
121,"Criminal C
Criminal Courts Building, Room:205
2650 South California Avenue Room: 205
Chicago, IL 60608
"
122,"Daley Cent
Daley Center, Room:1
50 West Washington Room: 1
Chicago, IL 60602
"
123,"Criminal C
Criminal Courts Building, Room:9999
2650 South California Avenue Room: 9999
Chicago, IL 60608
"
124,"Branch 43
Criminal Courts Building, Room:506
2650 South California Avenue Room: 506
Chicago, IL 60608
"
125,"Criminal C
Branch 43, Room:1
3150 West Flournoy Room: 1
Chicago, IL 60612
"
126,"Criminal C
Branch 38, Room:1
727 East 111th Street Room: 1
Chicago, IL 60628
"
127,"Branch 01
Branch 01, Room:100
2650 South California Avenue Room: 100
Chicago, IL 60608
"
128,"Bridgeview
Markham, Room:206
16501 South Kedzie Parkway Room: 206
Markham, IL 60426
"
129,"Branch 50
Skokie, Room:108
5600 Old Orchard Road Room: 108
Skokie, IL 60076
"
130,"
Criminal Courts Building, Room:502
2650 South California Avenue Room: 502
Chicago, IL 60608
"
131,"Branch 60
Branch 43, Room:1
3150 West Flournoy Room: 1
Chicago, IL 60612
"
132,"Branch 23
Branch 23, Room:1
5555 West Grand Avenue Room: 1
Chicago, IL 60639
"
133,"Rolling Me
Skokie, Room:107
5600 Old Orchard Road Room: 107
Skokie, IL 60076
"
134,Branch 29
135,"Markham
Bridgeview, Room:104
10220 South 76th Avenue Room: 104
Bridgeview, IL 60455
"
136,"Bridgeview
Criminal Courts Building, Room:208
2650 South California Avenue Room: 208
Chicago, IL 60608
"
137,ROLLING ME
138,"Branch 60
Branch 60, Room:301
555 West Harrison Room: 301
Chicago, IL 60607
"
139,"Criminal C
Criminal Courts Building, Room:1
2650 South California Avenue Room: 1
Chicago, IL 60608
"
140,"Criminal C
Criminal Courts Building, Room:307
2650 South California Avenue Room: 307
Chicago, IL 60608
"
142,"Bridgeview
Criminal Courts Building, Room:404
2650 South California Avenue Room: 404
Chicago, IL 60608
"
143,"Branch 42
Criminal Courts Building, Room:101
2650 South California Avenue Room: 101
Chicago, IL 60608
"
144,"Branch 29
Criminal Courts Building, Room:101
2650 South California Avenue Room: 101
Chicago, IL 60608
"
145,"Branch 29
Criminal Courts Building, Room:500
2650 South California Avenue Room: 500
Chicago, IL 60608
"
146,Branch 63
147,"Branch 98
Branch 98, Room:101
2650 South California Avenue Room: 101
Chicago, IL 60608
"
148,"Maywood
Skokie, Room:104
5600 Old Orchard Road Room: 104
Skokie, IL 60076
"
149,"Skokie
Skokie, Room:103
5600 Old Orchard Road Room: 103
Skokie, IL 60076
"
150,Branch 42
151,"
Bridgeview, Room:104
10220 South 76th Avenue Room: 104
Bridgeview, IL 60455
"
152,"
Criminal Courts Building, Room:308
2650 South California Avenue Room: 308
Chicago, IL 60608
"
153,Branch 44
154,"Branch 98
Criminal Courts Building, Room:404
2650 South California Avenue Room: 404
Chicago, IL 60608
"
155,"Branch 62
Criminal Courts Building, Room:305
2650 South California Avenue Room: 305
Chicago, IL 60608
"
156,"Branch 34
Branch 34, Room:1
155 West 51st Street Room: 1
Chicago, IL 60609
"
157,Branch 98
158,"Skokie
Criminal Courts Building, Room:602
2650 South California Avenue Room: 602
Chicago, IL 60608
"
159,"Rolling Me
Rolling Meadows, Room:110
2121 West Euclid Avenue Room: 110
Rolling Meadows, IL 60008
"
160,"Branch 46
Branch 46, Room:102
2650 South California Avenue Room: 102
Chicago, IL 60608
"
161,"Criminal C
Branch 42, Room:2
2452 West Belmont Avenue Room: 2
Chicago, IL 60618
"
